week,delivery_date,order_id,Customer,product_type,quantity
2026-W29,2026-07-15,ORD-B4F3E6,Tesla,Advanced_Chip,33
2026-W29,2026-07-16,ORD-4AC0AE,Tesla,Advanced_Chip,71
2026-W29,2026-07-17,ORD-16B38F,Foxconn,Advanced_Chip,82
2026-W29,2026-07-18,ORD-16AB57,Best Buy,Advanced_Chip,34
2026-W30,2026-07-20,ORD-075F2C,Best Buy,Advanced_Chip,68
2026-W30,2026-07-21,ORD-6417A5,Best Buy,Advanced_Chip,71
2026-W30,2026-07-22,ORD-63EDD5,Siemens,Advanced_Chip,89
2026-W30,2026-07-23,ORD-BDDC44,Meta,Advanced_Chip,35
2026-W30,2026-07-24,ORD-BC957C,Siemens,Advanced_Chip,80
2026-W30,2026-07-26,ORD-18C33A,Tesla,Advanced_Chip,48
2026-W31,2026-07-27,ORD-62181E,Foxconn,Advanced_Chip,69
2026-W31,2026-07-28,ORD-D6CC07,Meta,Advanced_Chip,48
2026-W31,2026-07-29,ORD-625E84,Meta,Advanced_Chip,42
