delivery_date,product_type,quantity
2026-05-22,Advanced_Chip,74
2026-05-23,Advanced_Chip,47
2026-05-24,Advanced_Chip,59
2026-05-25,Advanced_Chip,10
2026-05-26,Advanced_Chip,20
2026-05-27,Advanced_Chip,14
2026-05-28,Advanced_Chip,51
2026-05-29,Advanced_Chip,60
2026-05-30,Advanced_Chip,26
2026-05-31,Advanced_Chip,48
2026-06-01,Advanced_Chip,24
2026-06-02,Advanced_Chip,38
2026-06-03,Advanced_Chip,77
2026-06-04,Advanced_Chip,47
2026-06-05,Advanced_Chip,14
2026-06-07,Advanced_Chip,29
2026-06-08,Advanced_Chip,56
2026-06-09,Advanced_Chip,69
2026-06-10,Advanced_Chip,81
2026-06-11,Advanced_Chip,38
2026-06-12,Advanced_Chip,30
2026-06-13,Advanced_Chip,64
2026-06-14,Advanced_Chip,83
2026-06-15,Advanced_Chip,47
2026-06-16,Advanced_Chip,52
2026-06-17,Advanced_Chip,61
2026-06-18,Advanced_Chip,31
2026-06-19,Advanced_Chip,58
2026-06-20,Advanced_Chip,58
2026-06-21,Advanced_Chip,65
2026-06-23,Advanced_Chip,56
2026-06-24,Advanced_Chip,72
2026-06-25,Advanced_Chip,19
2026-06-26,Advanced_Chip,41
2026-06-27,Advanced_Chip,68
2026-06-28,Advanced_Chip,60
2026-06-29,Advanced_Chip,87
2026-06-30,Advanced_Chip,23
2026-07-02,Advanced_Chip,69
2026-07-03,Advanced_Chip,11
2026-07-04,Advanced_Chip,18
2026-07-05,Advanced_Chip,83
2026-07-06,Advanced_Chip,23
2026-07-07,Advanced_Chip,31
2026-07-08,Advanced_Chip,46
2026-07-09,Advanced_Chip,50
2026-07-10,Advanced_Chip,36
2026-07-11,Advanced_Chip,62
2026-07-12,Advanced_Chip,55
2026-07-13,Advanced_Chip,62
2026-07-14,Advanced_Chip,20
2026-07-15,Advanced_Chip,33
2026-07-16,Advanced_Chip,71
2026-07-17,Advanced_Chip,82
2026-07-18,Advanced_Chip,34
2026-07-20,Advanced_Chip,68
2026-07-21,Advanced_Chip,71
2026-07-22,Advanced_Chip,89
2026-07-23,Advanced_Chip,35
2026-07-24,Advanced_Chip,80
2026-07-26,Advanced_Chip,48
2026-07-27,Advanced_Chip,69
2026-07-28,Advanced_Chip,48
2026-07-29,Advanced_Chip,42
