date,order_id,product_type,quantity,Customer
2026-06-11,ORD-1A2741,Advanced_Chip,38,Microsoft
2026-06-12,ORD-B2B65F,Advanced_Chip,30,Tesla
2026-06-13,ORD-8B47BB,Advanced_Chip,64,Siemens
2026-06-14,ORD-D2B3E8,Advanced_Chip,83,Foxconn
2026-06-15,ORD-CF8ADE,Advanced_Chip,47,Foxconn
2026-06-16,ORD-AA2035,Advanced_Chip,52,Dell
2026-06-17,ORD-2D1FEA,Advanced_Chip,61,Dell
2026-06-18,ORD-D0C11B,Advanced_Chip,31,Meta
2026-06-19,ORD-F4E4FA,Advanced_Chip,58,Tesla
2026-06-20,ORD-CD219A,Advanced_Chip,58,Dell
2026-06-21,ORD-C1C599,Advanced_Chip,65,Best Buy
2026-06-23,ORD-1F255C,Advanced_Chip,56,Tesla
2026-06-24,ORD-55AD1A,Advanced_Chip,72,Tesla
2026-06-25,ORD-F5B329,Advanced_Chip,19,Dell
2026-06-26,ORD-3E9F3E,Advanced_Chip,41,Microsoft
2026-06-27,ORD-48CFAF,Advanced_Chip,68,Foxconn
2026-06-28,ORD-C65893,Advanced_Chip,60,Meta
2026-06-29,ORD-21BAB4,Advanced_Chip,87,Meta
2026-06-30,ORD-9CFC87,Advanced_Chip,23,Meta
2026-07-02,ORD-C0C358,Advanced_Chip,69,ASUS
2026-07-03,ORD-86C472,Advanced_Chip,11,Tesla
2026-07-04,ORD-FFA48C,Advanced_Chip,18,Best Buy
2026-07-05,ORD-3E162D,Advanced_Chip,83,Meta
2026-07-06,ORD-798192,Advanced_Chip,23,Meta
2026-07-07,ORD-3550C1,Advanced_Chip,31,Siemens
2026-07-08,ORD-B29DD5,Advanced_Chip,46,Microsoft
2026-07-09,ORD-014611,Advanced_Chip,50,Tesla
2026-07-10,ORD-FCDD3E,Advanced_Chip,36,Siemens
2026-07-11,ORD-2E8B55,Advanced_Chip,62,Siemens
2026-07-12,ORD-8365F0,Advanced_Chip,55,Siemens
2026-07-13,ORD-2E2E8B,Advanced_Chip,62,Meta
2026-07-14,ORD-6386E6,Advanced_Chip,20,Best Buy
2026-07-15,ORD-DB8C95,Advanced_Chip,33,ASUS
2026-07-16,ORD-B4A7B3,Advanced_Chip,71,ASUS
2026-07-17,ORD-4AFA48,Advanced_Chip,82,Dell
2026-07-18,ORD-1C1E0E,Advanced_Chip,34,Meta
2026-07-20,ORD-1A6EA5,Advanced_Chip,68,ASUS
2026-07-21,ORD-1F8606,Advanced_Chip,71,Meta
2026-07-22,ORD-1E0F4B,Advanced_Chip,89,Siemens
2026-07-23,ORD-8CD704,Advanced_Chip,35,Meta
2026-07-24,ORD-2C0DA8,Advanced_Chip,80,Microsoft
2026-07-26,ORD-F9C4DA,Advanced_Chip,48,Siemens
2026-07-27,ORD-59631B,Advanced_Chip,69,Dell
2026-07-28,ORD-40B2BD,Advanced_Chip,48,Microsoft
2026-07-29,ORD-EF226B,Advanced_Chip,42,Meta
