week,delivery_date,product_type,quantity
2026-W06,2/3/26,Subcomponent_1,15
2026-W06,2/3/26,Subcomponent_2,12
2026-W06,2/4/26,Subcomponent_1,35
2026-W06,2/4/26,Subcomponent_2,28
2026-W06,2/5/26,Subcomponent_1,42
2026-W06,2/5/26,Subcomponent_2,48
2026-W06,2/6/26,Subcomponent_1,34
2026-W06,2/6/26,Subcomponent_2,40
2026-W06,2/7/26,Subcomponent_1,35
2026-W06,2/7/26,Subcomponent_2,58
2026-W06,2/8/26,Subcomponent_1,14
2026-W06,2/8/26,Subcomponent_2,18
2026-W07,2/9/26,Subcomponent_1,12
2026-W07,2/9/26,Subcomponent_2,42
2026-W07,2/10/26,Subcomponent_1,45
2026-W07,2/10/26,Subcomponent_2,29
2026-W07,2/11/26,Subcomponent_2,27
2026-W07,2/12/26,Subcomponent_1,45
2026-W07,2/12/26,Subcomponent_2,42
2026-W07,2/13/26,Subcomponent_1,17
2026-W07,2/13/26,Subcomponent_2,26
2026-W07,2/14/26,Subcomponent_2,31
2026-W07,2/15/26,Subcomponent_1,17
2026-W07,2/15/26,Subcomponent_2,43
2026-W08,2/16/26,Subcomponent_1,42
2026-W08,2/16/26,Subcomponent_2,57
2026-W08,2/17/26,Subcomponent_1,26
2026-W08,2/17/26,Subcomponent_2,39
2026-W08,2/18/26,Subcomponent_1,46
2026-W08,2/18/26,Subcomponent_2,58
2026-W08,2/19/26,Subcomponent_1,30
2026-W08,2/19/26,Subcomponent_2,42
2026-W08,2/20/26,Subcomponent_1,40
2026-W08,2/20/26,Subcomponent_2,12
2026-W08,2/21/26,Subcomponent_1,31
2026-W08,2/21/26,Subcomponent_2,36
2026-W08,2/22/26,Subcomponent_1,18
2026-W08,2/22/26,Subcomponent_2,57
2026-W09,2/23/26,Subcomponent_1,44
2026-W09,2/23/26,Subcomponent_2,33
2026-W09,2/24/26,Subcomponent_1,29
2026-W09,2/24/26,Subcomponent_2,55
2026-W09,2/25/26,Subcomponent_1,24
2026-W09,2/25/26,Subcomponent_2,11
2026-W09,2/26/26,Subcomponent_2,31
2026-W09,2/27/26,Subcomponent_2,52
2026-W09,2/28/26,Subcomponent_1,14
2026-W09,2/28/26,Subcomponent_2,15
2026-W09,3/1/26,Subcomponent_1,44
2026-W09,3/1/26,Subcomponent_2,25
2026-W10,3/2/26,Subcomponent_2,28
2026-W10,3/3/26,Subcomponent_1,35
2026-W10,3/3/26,Subcomponent_2,32
2026-W10,3/4/26,Subcomponent_1,10
2026-W10,3/4/26,Subcomponent_2,41
2026-W10,3/5/26,Subcomponent_1,10
2026-W10,3/5/26,Subcomponent_2,48
2026-W10,3/6/26,Subcomponent_1,12
2026-W10,3/6/26,Subcomponent_2,25
2026-W10,3/7/26,Subcomponent_1,37
2026-W10,3/8/26,Subcomponent_1,14
2026-W10,3/8/26,Subcomponent_2,35
2026-W11,3/9/26,Subcomponent_1,39
2026-W11,3/9/26,Subcomponent_2,19
2026-W11,3/10/26,Subcomponent_1,19
2026-W11,3/10/26,Subcomponent_2,41
2026-W11,3/11/26,Subcomponent_1,25
2026-W11,3/12/26,Subcomponent_1,33
2026-W11,3/12/26,Subcomponent_2,44
2026-W11,3/13/26,Subcomponent_1,46
2026-W11,3/13/26,Subcomponent_2,10
2026-W11,3/14/26,Subcomponent_1,38
2026-W11,3/15/26,Subcomponent_2,32
2026-W12,3/16/26,Subcomponent_1,35
2026-W12,3/16/26,Subcomponent_2,43
2026-W12,3/17/26,Subcomponent_1,20
2026-W12,3/17/26,Subcomponent_2,45
2026-W12,3/18/26,Subcomponent_1,18
2026-W12,3/18/26,Subcomponent_2,44
2026-W12,3/19/26,Subcomponent_1,48
2026-W12,3/19/26,Subcomponent_2,32
2026-W12,3/20/26,Subcomponent_1,22
2026-W12,3/20/26,Subcomponent_2,44
2026-W12,3/21/26,Subcomponent_1,29
2026-W12,3/21/26,Subcomponent_2,31
2026-W12,3/22/26,Subcomponent_1,21
2026-W12,3/22/26,Subcomponent_2,28
2026-W13,3/23/26,Subcomponent_1,23
2026-W13,3/23/26,Subcomponent_2,28
2026-W13,3/24/26,Subcomponent_1,44
2026-W13,3/24/26,Subcomponent_2,30
2026-W13,3/25/26,Subcomponent_1,48
2026-W13,3/26/26,Subcomponent_1,14
2026-W13,3/26/26,Subcomponent_2,38
2026-W13,3/27/26,Subcomponent_1,18
2026-W13,3/27/26,Subcomponent_2,53
2026-W13,3/28/26,Subcomponent_1,49
2026-W14,3/30/26,Subcomponent_1,26
2026-W14,3/30/26,Subcomponent_2,34
2026-W14,3/31/26,Subcomponent_1,40
2026-W14,3/31/26,Subcomponent_2,53
2026-W14,4/1/26,Subcomponent_1,48
2026-W14,4/1/26,Subcomponent_2,54
2026-W14,4/2/26,Subcomponent_1,29
2026-W14,4/2/26,Subcomponent_2,50
2026-W14,4/3/26,Subcomponent_1,34
2026-W14,4/3/26,Subcomponent_2,47
2026-W14,4/4/26,Subcomponent_2,56
2026-W14,4/5/26,Subcomponent_1,45
2026-W14,4/5/26,Subcomponent_2,29
2026-W15,4/6/26,Subcomponent_1,23
2026-W15,4/6/26,Subcomponent_2,10
2026-W15,4/7/26,Subcomponent_1,20
2026-W15,4/7/26,Subcomponent_2,41
2026-W15,4/8/26,Subcomponent_1,33
2026-W15,4/8/26,Subcomponent_2,17
2026-W15,4/9/26,Subcomponent_1,37
2026-W15,4/10/26,Subcomponent_1,26
2026-W15,4/10/26,Subcomponent_2,29
2026-W15,4/11/26,Subcomponent_1,44
2026-W15,4/11/26,Subcomponent_2,27
2026-W15,4/12/26,Subcomponent_1,11
2026-W16,4/13/26,Subcomponent_2,10
2026-W16,4/14/26,Subcomponent_1,35
2026-W16,4/14/26,Subcomponent_2,31
2026-W16,4/15/26,Subcomponent_1,43
2026-W16,4/16/26,Subcomponent_2,26
2026-W16,4/17/26,Subcomponent_1,32
2026-W16,4/17/26,Subcomponent_2,46
2026-W16,4/18/26,Subcomponent_1,18
2026-W16,4/18/26,Subcomponent_2,54
2026-W16,4/19/26,Subcomponent_1,49
2026-W16,4/19/26,Subcomponent_2,37
2026-W17,4/20/26,Subcomponent_1,43
2026-W17,4/20/26,Subcomponent_2,12
2026-W17,4/21/26,Subcomponent_1,14
2026-W17,4/22/26,Subcomponent_1,32
2026-W17,4/22/26,Subcomponent_2,30
2026-W17,4/23/26,Subcomponent_1,47
2026-W17,4/23/26,Subcomponent_2,43
2026-W17,4/24/26,Subcomponent_1,43
2026-W17,4/24/26,Subcomponent_2,47
2026-W17,4/25/26,Subcomponent_1,26
2026-W17,4/25/26,Subcomponent_2,13
2026-W17,4/26/26,Subcomponent_1,29
2026-W17,4/26/26,Subcomponent_2,43
2026-W18,4/27/26,Subcomponent_1,20
2026-W18,4/28/26,Subcomponent_1,20
2026-W18,4/28/26,Subcomponent_2,17
2026-W18,4/29/26,Subcomponent_1,12
2026-W18,4/29/26,Subcomponent_2,36
2026-W18,4/30/26,Subcomponent_1,28
2026-W18,4/30/26,Subcomponent_2,27
2026-W18,5/1/26,Subcomponent_2,14
2026-W18,5/2/26,Subcomponent_1,23
2026-W18,5/2/26,Subcomponent_2,36
2026-W18,5/3/26,Subcomponent_1,31
2026-W19,5/4/26,Subcomponent_1,26
2026-W19,5/4/26,Subcomponent_2,10
2026-W19,5/5/26,Subcomponent_1,24
2026-W19,5/5/26,Subcomponent_2,31
2026-W19,5/6/26,Subcomponent_1,33
2026-W19,5/6/26,Subcomponent_2,35
2026-W19,5/7/26,Subcomponent_1,16
2026-W19,5/7/26,Subcomponent_2,32
2026-W19,5/8/26,Subcomponent_1,44
2026-W19,5/8/26,Subcomponent_2,34
2026-W19,5/9/26,Subcomponent_2,48
2026-W19,5/10/26,Subcomponent_1,34
2026-W19,5/10/26,Subcomponent_2,29
2026-W20,5/11/26,Subcomponent_1,27
2026-W20,5/12/26,Subcomponent_1,49
2026-W20,5/12/26,Subcomponent_2,28
2026-W20,5/13/26,Subcomponent_1,43
2026-W20,5/13/26,Subcomponent_2,54
2026-W20,5/14/26,Subcomponent_2,15
2026-W20,5/15/26,Subcomponent_1,39
2026-W20,5/15/26,Subcomponent_2,18
2026-W20,5/16/26,Subcomponent_1,49
2026-W20,5/16/26,Subcomponent_2,33
2026-W20,5/17/26,Subcomponent_1,20
2026-W20,5/17/26,Subcomponent_2,15
2026-W21,5/18/26,Subcomponent_1,11
2026-W21,5/18/26,Subcomponent_2,17
2026-W21,5/19/26,Subcomponent_1,15
2026-W21,5/19/26,Subcomponent_2,13
2026-W21,5/20/26,Subcomponent_1,10
2026-W21,5/20/26,Subcomponent_2,47
2026-W21,5/21/26,Subcomponent_1,22
2026-W21,5/21/26,Subcomponent_2,42
2026-W21,5/22/26,Subcomponent_1,19
2026-W21,5/22/26,Subcomponent_2,22
2026-W21,5/23/26,Subcomponent_1,18
2026-W21,5/23/26,Subcomponent_2,20
2026-W21,5/24/26,Subcomponent_1,39
2026-W21,5/24/26,Subcomponent_2,14
2026-W22,5/25/26,Subcomponent_1,20
2026-W22,5/25/26,Subcomponent_2,21
2026-W22,5/26/26,Subcomponent_1,31
2026-W22,5/27/26,Subcomponent_1,23
2026-W22,5/27/26,Subcomponent_2,44
2026-W22,5/28/26,Subcomponent_1,23
2026-W22,5/28/26,Subcomponent_2,13
2026-W22,5/29/26,Subcomponent_1,49
2026-W22,5/29/26,Subcomponent_2,49
2026-W22,5/30/26,Subcomponent_1,42
2026-W22,5/30/26,Subcomponent_2,24
2026-W22,5/31/26,Subcomponent_1,11
2026-W22,5/31/26,Subcomponent_2,49
2026-W23,6/1/26,Subcomponent_1,15
2026-W23,6/1/26,Subcomponent_2,17
2026-W23,6/2/26,Subcomponent_1,42
2026-W23,6/2/26,Subcomponent_2,48
2026-W23,6/3/26,Subcomponent_1,42
2026-W23,6/3/26,Subcomponent_2,36
2026-W23,6/4/26,Subcomponent_1,19
2026-W23,6/4/26,Subcomponent_2,19
2026-W23,6/5/26,Subcomponent_1,45
2026-W23,6/5/26,Subcomponent_2,24
2026-W23,6/6/26,Subcomponent_1,13
2026-W23,6/6/26,Subcomponent_2,11
2026-W23,6/7/26,Subcomponent_1,45
2026-W23,6/7/26,Subcomponent_2,52
2026-W24,6/8/26,Subcomponent_1,19
2026-W24,6/8/26,Subcomponent_2,15
2026-W24,6/9/26,Subcomponent_1,21
2026-W24,6/9/26,Subcomponent_2,49
2026-W24,6/10/26,Subcomponent_1,45
2026-W24,6/10/26,Subcomponent_2,14
2026-W24,6/11/26,Subcomponent_1,37
2026-W24,6/11/26,Subcomponent_2,18
2026-W24,6/12/26,Subcomponent_1,31
2026-W24,6/12/26,Subcomponent_2,10
2026-W24,6/13/26,Subcomponent_1,45
2026-W24,6/13/26,Subcomponent_2,10
2026-W24,6/14/26,Subcomponent_1,24
2026-W24,6/14/26,Subcomponent_2,18
2026-W25,6/15/26,Subcomponent_1,35
2026-W25,6/15/26,Subcomponent_2,34
2026-W25,6/16/26,Subcomponent_1,27
2026-W25,6/16/26,Subcomponent_2,36
2026-W25,6/17/26,Subcomponent_2,33
2026-W25,6/18/26,Subcomponent_1,33
2026-W25,6/18/26,Subcomponent_2,38
2026-W25,6/19/26,Subcomponent_1,30
2026-W25,6/19/26,Subcomponent_2,26
2026-W25,6/20/26,Subcomponent_1,31
2026-W25,6/21/26,Subcomponent_1,41
2026-W26,6/22/26,Subcomponent_1,41
2026-W26,6/22/26,Subcomponent_2,58
2026-W26,6/23/26,Subcomponent_1,49
2026-W26,6/23/26,Subcomponent_2,10
2026-W26,6/24/26,Subcomponent_1,37
2026-W26,6/24/26,Subcomponent_2,39
2026-W26,6/25/26,Subcomponent_1,17
2026-W26,6/25/26,Subcomponent_2,48
2026-W26,6/26/26,Subcomponent_1,43
2026-W26,6/26/26,Subcomponent_2,32
2026-W26,6/27/26,Subcomponent_1,38
2026-W26,6/27/26,Subcomponent_2,12
2026-W26,6/28/26,Subcomponent_1,17
2026-W26,6/28/26,Subcomponent_2,56
2026-W27,6/29/26,Subcomponent_1,17
2026-W27,6/30/26,Subcomponent_1,25
2026-W27,6/30/26,Subcomponent_2,46
2026-W27,7/1/26,Subcomponent_1,27
2026-W27,7/2/26,Subcomponent_1,28
2026-W27,7/2/26,Subcomponent_2,28
2026-W27,7/3/26,Subcomponent_1,10
2026-W27,7/3/26,Subcomponent_2,29
2026-W27,7/4/26,Subcomponent_1,21
2026-W27,7/4/26,Subcomponent_2,46
2026-W27,7/5/26,Subcomponent_1,44
2026-W27,7/5/26,Subcomponent_2,31
2026-W28,7/6/26,Subcomponent_1,32
2026-W28,7/6/26,Subcomponent_2,26
2026-W28,7/7/26,Subcomponent_1,11
2026-W28,7/7/26,Subcomponent_2,48
2026-W28,7/8/26,Subcomponent_1,13
2026-W28,7/8/26,Subcomponent_2,38
2026-W28,7/9/26,Subcomponent_2,30
2026-W28,7/10/26,Subcomponent_1,26
2026-W28,7/10/26,Subcomponent_2,47
2026-W28,7/11/26,Subcomponent_1,15
2026-W28,7/11/26,Subcomponent_2,43
2026-W28,7/12/26,Subcomponent_1,26
2026-W28,7/12/26,Subcomponent_2,37
2026-W29,7/13/26,Subcomponent_2,52
2026-W29,7/14/26,Subcomponent_1,35
2026-W29,7/15/26,Subcomponent_1,48
2026-W29,7/15/26,Subcomponent_2,43
2026-W29,7/16/26,Subcomponent_1,14
2026-W29,7/16/26,Subcomponent_2,45
2026-W29,7/17/26,Subcomponent_1,43
2026-W29,7/17/26,Subcomponent_2,11
2026-W29,7/18/26,Subcomponent_1,10
2026-W29,7/18/26,Subcomponent_2,52
2026-W29,7/19/26,Subcomponent_1,12
2026-W30,7/20/26,Subcomponent_1,47
2026-W30,7/20/26,Subcomponent_2,28
2026-W30,7/21/26,Subcomponent_1,26
2026-W30,7/21/26,Subcomponent_2,58
2026-W30,7/22/26,Subcomponent_1,28
2026-W30,7/22/26,Subcomponent_2,30
2026-W30,7/23/26,Subcomponent_1,34
2026-W30,7/23/26,Subcomponent_2,21
2026-W30,7/24/26,Subcomponent_2,41
2026-W30,7/25/26,Subcomponent_1,35
2026-W30,7/25/26,Subcomponent_2,16
2026-W30,7/26/26,Subcomponent_1,18
2026-W30,7/26/26,Subcomponent_2,17
2026-W31,7/27/26,Subcomponent_1,48
2026-W31,7/28/26,Subcomponent_1,12
2026-W31,7/28/26,Subcomponent_2,49
2026-W31,7/29/26,Subcomponent_1,13
2026-W31,7/29/26,Subcomponent_2,34
